, 98, 36, 11178, 7129, 4049, 66, 244.72, P2
2020/07/17 12:08:07.611, 98, 39, 11178, 7129, 4049, 69, 264.82, P2
2020/07/17 12:08:07.613, 75, 18, 11176, 5282, 5894, 80, 213.36, P2
2020/07/17 12:08:08.619, 98, 48, 11178, 7129, 4049, 69, 215.95, P2
2020/07/17 12:08:08.621, 86, 36, 11176, 5282, 5894, 80, 224.38, P2
2020/07/17 12:08:09.623, 98, 46, 11178, 7129, 4049, 69, 117.97, P2
2020/07/17 12:08:09.625, 99, 45, 11176, 5282, 5894, 80, 97.09, P2
2020/07/17 12:08:10.628, 83, 50, 11178, 7129, 4049, 70, 105.33, P2
2020/07/17 12:08:10.630, 99, 51, 11176, 5282, 5894, 80, 104.90, P2
2020/07/17 12:08:11.632, 83, 54, 11178, 7129, 4049, 70, 225.45, P2
2020/07/17 12:08:11.634, 99, 40, 11176, 5282, 5894, 81, 203.91, P2
2020/07/17 12:08:12.636, 82, 38, 11178, 7129, 4049, 70, 261.46, P2
2020/07/17 12:08:12.638, 77, 25, 11176, 5282, 5894, 80, 246.97, P2
2020/07/17 12:08:13.641, 98, 48, 11178, 7129, 4049, 69, 222.86, P2
2020/07/17 12:08:13.643, 76, 16, 11176, 5282, 5894, 80, 237.18, P2
2020/07/17 12:08:14.645, 98, 37, 11178, 7129, 4049, 69, 265.22, P2
2020/07/17 12:08:14.647, 76, 20, 11176, 5282, 5894, 80, 273.76, P2
2020/07/17 12:08:15.649, 98, 51, 11178, 7129, 4049, 69, 131.66, P2
2020/07/17 12:08:15.651, 88, 38, 11176, 5282, 5894, 80, 151.96, P2
2020/07/17 12:08:16.653, 99, 47, 11178, 7129, 4049, 69, 164.60, P2
2020/07/17 12:08:16.655, 99, 44, 11176, 5282, 5894, 80, 93.90, P2
2020/07/17 12:08:17.657, 83, 52, 11178, 7129, 4049, 70, 105.73, P2
2020/07/17 12:08:17.660, 99, 52, 11176, 5282, 5894, 80, 108.98, P2
2020/07/17 12:08:18.662, 83, 52, 11178, 7129, 4049, 70, 257.30, P2
2020/07/17 12:08:18.664, 99, 42, 11176, 5282, 5894, 81, 258.78, P2
2020/07/17 12:08:19.666, 82, 37, 11178, 7129, 4049, 70, 241.35, P2
2020/07/17 12:08:19.671, 81, 25, 11176, 5282, 5894, 81, 250.30, P2
2020/07/17 12:08:20.673, 62, 27, 11178, 7129, 4049, 69, 252.00, P2
2020/07/17 12:08:20.675, 52, 3, 11176, 5282, 5894, 80, 254.86, P2
2020/07/17 12:08:21.677, 98, 51, 11178, 7129, 4049, 69, 102.34, P2
2020/07/17 12:08:21.679, 91, 39, 11176, 5282, 5894, 80, 98.35, P2
2020/07/17 12:08:22.681, 97, 47, 11178, 7129, 4049, 69, 167.12, P2
2020/07/17 12:08:22.683, 98, 46, 11176, 5282, 5894, 81, 94.28, P2
2020/07/17 12:08:23.690, 83, 52, 11178, 7129, 4049, 70, 109.11, P2
2020/07/17 12:08:23.697, 99, 52, 11176, 5282, 5894, 81, 109.28, P2
2020/07/17 12:08:24.706, 83, 50, 11178, 7129, 4049, 70, 255.09, P2
2020/07/17 12:08:24.708, 99, 36, 11176, 5282, 5894, 81, 255.47, P2
2020/07/17 12:08:25.710, 82, 40, 11178, 7129, 4049, 70, 244.82, P2
2020/07/17 12:08:25.715, 76, 25, 11176, 5282, 5894, 81, 242.53, P2
2020/07/17 12:08:26.717, 98, 46, 11178, 7129, 4049, 70, 127.51, P2
2020/07/17 12:08:26.719, 76, 15, 11176, 5282, 5894, 81, 154.76, P2
2020/07/17 12:08:27.721, 98, 37, 11178, 7129, 4049, 69, 255.76, P2
2020/07/17 12:08:27.723, 76, 21, 11176, 5282, 5894, 80, 257.43, P2
2020/07/17 12:08:28.725, 98, 53, 11178, 7129, 4049, 69, 101.66, P2
2020/07/17 12:08:28.727, 91, 39, 11176, 5282, 5894, 80, 97.58, P2
2020/07/17 12:08:29.730, 93, 47, 11178, 7129, 4049, 69, 170.79, P2
2020/07/17 12:08:29.732, 98, 46, 11176, 5282, 5894, 81, 93.79, P2
2020/07/17 12:08:30.734, 83, 53, 11178, 7129, 4049, 70, 111.39, P2
2020/07/17 12:08:30.736, 99, 52, 11176, 5282, 5894, 81, 116.05, P2
