timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W]
2020/06/08 18:51:49.838, 0, 0, 11176, 170, 11006, 11.75
2020/06/08 18:51:54.841, 100, 65, 11178, 10761, 417, 268.98
2020/06/08 18:51:54.843, 0, 0, 11176, 170, 11006, 12.04
2020/06/08 18:51:59.847, 97, 76, 11178, 10761, 417, 274.07
2020/06/08 18:51:59.852, 0, 0, 11176, 170, 11006, 12.04
2020/06/08 18:52:04.859, 99, 73, 11178, 10761, 417, 279.11
2020/06/08 18:52:04.866, 0, 0, 11176, 170, 11006, 11.75
2020/06/08 18:52:09.870, 99, 61, 11178, 10761, 417, 274.17
2020/06/08 18:52:09.872, 0, 0, 11176, 170, 11006, 11.26
2020/06/08 18:52:14.876, 100, 72, 11178, 10761, 417, 259.96
2020/06/08 18:52:14.885, 0, 0, 11176, 170, 11006, 11.07
2020/06/08 18:52:19.889, 99, 62, 11178, 10761, 417, 259.90
2020/06/08 18:52:19.893, 0, 0, 11176, 170, 11006, 11.07
2020/06/08 18:52:24.896, 100, 70, 11178, 10761, 417, 247.63
2020/06/08 18:52:24.898, 0, 0, 11176, 170, 11006, 11.07
2020/06/08 18:52:29.902, 99, 62, 11178, 10761, 417, 182.08
2020/06/08 18:52:29.906, 0, 0, 11176, 170, 11006, 11.56
2020/06/08 18:52:34.909, 100, 70, 11178, 10761, 417, 258.65
2020/06/08 18:52:34.914, 0, 0, 11176, 170, 11006, 12.04
2020/06/08 18:52:39.918, 100, 64, 11178, 10761, 417, 187.80
2020/06/08 18:52:39.920, 0, 0, 11176, 170, 11006, 12.04
2020/06/08 18:52:44.924, 97, 75, 11178, 10761, 417, 256.21
2020/06/08 18:52:44.928, 0, 0, 11176, 170, 11006, 12.13
2020/06/08 18:52:49.932, 100, 63, 11178, 10761, 417, 220.63
2020/06/08 18:52:49.939, 0, 0, 11176, 170, 11006, 11.65
2020/06/08 18:52:54.946, 97, 76, 11178, 10761, 417, 287.50
2020/06/08 18:52:54.948, 0, 0, 11176, 170, 11006, 11.55
2020/06/08 18:52:59.951, 99, 63, 11178, 10761, 417, 272.56
2020/06/08 18:52:59.956, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:53:04.960, 98, 76, 11178, 10761, 417, 270.41
2020/06/08 18:53:04.971, 0, 0, 11176, 170, 11006, 11.36
